X,Y,PredictedY,Error
-1.585966,-1.585986,-1.586905,0.000919
-1.585619,-1.585607,-1.586558,0.000951
-1.585273,-1.585424,-1.586212,0.000787
-1.584927,-1.585022,-1.585865,0.000843
-1.584580,-1.584623,-1.585519,0.000896
-1.584234,-1.584277,-1.585173,0.000895
-1.583887,-1.584038,-1.584826,0.000788
-1.583541,-1.583597,-1.584480,0.000883
-1.583194,-1.583285,-1.584133,0.000849
-1.582848,-1.582951,-1.583787,0.000836
-1.582502,-1.582521,-1.583441,0.000919
-1.582155,-1.582170,-1.583094,0.000924
-1.581809,-1.581795,-1.582748,0.000953
-1.581463,-1.581591,-1.582401,0.000810
-1.581116,-1.581130,-1.582055,0.000925
-1.580770,-1.580761,-1.581708,0.000947
-1.580423,-1.580545,-1.581362,0.000817
-1.580077,-1.580111,-1.581016,0.000905
-1.579730,-1.579853,-1.580669,0.000817
-1.579384,-1.579459,-1.580323,0.000864
-1.579038,-1.579172,-1.579976,0.000804
-1.578691,-1.578763,-1.579630,0.000867
-1.578345,-1.578347,-1.579284,0.000936
-1.577998,-1.578063,-1.578937,0.000874
-1.577652,-1.577643,-1.578591,0.000947
-1.577306,-1.577328,-1.578244,0.000916
-1.576959,-1.576957,-1.577898,0.000941
-1.576613,-1.576659,-1.577551,0.000893
-1.576266,-1.576298,-1.577205,0.000907
-1.575920,-1.575989,-1.576859,0.000870
-1.575574,-1.575673,-1.576512,0.000839
-1.575227,-1.575368,-1.576166,0.000798
-1.574881,-1.574980,-1.575819,0.000840
-1.574534,-1.574632,-1.575473,0.000841
-1.574188,-1.574278,-1.575127,0.000849
-1.573841,-1.573883,-1.574780,0.000898
-1.573495,-1.573483,-1.574434,0.000951
-1.573149,-1.573157,-1.574087,0.000930
-1.572802,-1.572814,-1.573741,0.000927
-1.572456,-1.572575,-1.573395,0.000820
-1.572109,-1.572121,-1.573048,0.000928
-1.571763,-1.571834,-1.572702,0.000868
-1.571417,-1.571560,-1.572355,0.000796
-1.571070,-1.571148,-1.572009,0.000861
-1.570724,-1.570741,-1.571663,0.000922
-1.570377,-1.570445,-1.571316,0.000871
-1.570031,-1.570120,-1.570970,0.000849
-1.569685,-1.569831,-1.570623,0.000792
-1.569338,-1.569469,-1.570277,0.000808
-1.568992,-1.569133,-1.569931,0.000798
-1.568645,-1.568761,-1.569584,0.000823
-1.568299,-1.568297,-1.569238,0.000941
-1.567953,-1.568034,-1.568891,0.000857
-1.567606,-1.567699,-1.568545,0.000846
-1.567260,-1.567412,-1.568198,0.000787
-1.566913,-1.566940,-1.567852,0.000912
-1.566567,-1.566609,-1.567506,0.000897
-1.566220,-1.566333,-1.567159,0.000826
-1.565874,-1.565903,-1.566813,0.000910
-1.565528,-1.565520,-1.566466,0.000946
-1.565181,-1.565266,-1.566120,0.000854
-1.564835,-1.564839,-1.565774,0.000935
-1.564488,-1.564633,-1.565427,0.000794
-1.564142,-1.564147,-1.565081,0.000934
-1.563796,-1.563851,-1.564734,0.000883
-1.563449,-1.563539,-1.564388,0.000849
-1.563103,-1.563141,-1.564041,0.000900
-1.562756,-1.562824,-1.563695,0.000871
-1.562410,-1.562537,-1.563349,0.000811
-1.562064,-1.562071,-1.563002,0.000932
-1.561717,-1.561797,-1.562656,0.000859
-1.561371,-1.561486,-1.562310,0.000823
-1.561024,-1.561142,-1.561963,0.000821
-1.560678,-1.560691,-1.561617,0.000926
-1.560331,-1.560380,-1.561270,0.000891
-1.559985,-1.560046,-1.560924,0.000878
-1.559639,-1.559640,-1.560577,0.000938
-1.559292,-1.559440,-1.560231,0.000790
-1.558946,-1.559094,-1.559885,0.000790
-1.558599,-1.558682,-1.559538,0.000856
-1.558253,-1.558239,-1.559192,0.000952
-1.557907,-1.557985,-1.558845,0.000861
-1.557560,-1.557646,-1.558499,0.000853
-1.557214,-1.557282,-1.558153,0.000870
-1.556867,-1.556896,-1.557806,0.000911
-1.556521,-1.556561,-1.557460,0.000899
-1.556175,-1.556223,-1.557113,0.000890
-1.555828,-1.555979,-1.556767,0.000788
-1.555482,-1.555594,-1.556421,0.000826
-1.555135,-1.555195,-1.556074,0.000879
-1.554789,-1.554943,-1.555728,0.000785
-1.554443,-1.554533,-1.555381,0.000848
-1.554096,-1.554196,-1.555035,0.000839
-1.553750,-1.553745,-1.554688,0.000944
-1.553403,-1.553517,-1.554342,0.000825
-1.553057,-1.553199,-1.553996,0.000797
-1.552710,-1.552697,-1.553649,0.000952
-1.552364,-1.552489,-1.553303,0.000814
-1.552018,-1.552038,-1.552956,0.000919
-1.551671,-1.551718,-1.552610,0.000893
-1.551325,-1.551360,-1.552264,0.000904
-1.550978,-1.551126,-1.551917,0.000791
-1.550632,-1.550770,-1.551571,0.000801
-1.550286,-1.550337,-1.551224,0.000887
-1.549939,-1.549984,-1.550878,0.000894
-1.549593,-1.549630,-1.550532,0.000902
-1.549246,-1.549241,-1.550185,0.000944
-1.548900,-1.548947,-1.549839,0.000891
-1.548554,-1.548635,-1.549492,0.000857
-1.548207,-1.548207,-1.549146,0.000939
-1.547861,-1.547861,-1.548800,0.000939
-1.547514,-1.547608,-1.548453,0.000845
-1.547168,-1.547171,-1.548107,0.000936
-1.546821,-1.546973,-1.547760,0.000787
-1.546475,-1.546609,-1.547414,0.000805
-1.546129,-1.546152,-1.547067,0.000916
-1.545782,-1.545870,-1.546721,0.000851
-1.545436,-1.545565,-1.546375,0.000809
-1.545089,-1.545174,-1.546028,0.000854
-1.544743,-1.544813,-1.545682,0.000869
-1.544397,-1.544440,-1.545335,0.000895
-1.544050,-1.544060,-1.544989,0.000929
-1.543704,-1.543788,-1.544643,0.000854
-1.543357,-1.543444,-1.544296,0.000852
-1.543011,-1.543037,-1.543950,0.000913
-1.542665,-1.542713,-1.543603,0.000890
-1.542318,-1.542310,-1.543257,0.000947
-1.541972,-1.542028,-1.542910,0.000883
-1.541625,-1.541731,-1.542564,0.000833
-1.541279,-1.541360,-1.542218,0.000857
-1.540933,-1.540972,-1.541871,0.000899
-1.540586,-1.540628,-1.541525,0.000897
-1.540240,-1.540378,-1.541178,0.000800
-1.539893,-1.539934,-1.540832,0.000898
-1.539547,-1.539538,-1.540486,0.000947
-1.539200,-1.539310,-1.540139,0.000830
-1.538854,-1.538904,-1.539793,0.000889
-1.538508,-1.538497,-1.539446,0.000950
-1.538161,-1.538183,-1.539100,0.000917
-1.537815,-1.537943,-1.538754,0.000811
-1.537468,-1.537483,-1.538407,0.000924
-1.537122,-1.537154,-1.538061,0.000907
-1.536776,-1.536785,-1.537714,0.000930
-1.536429,-1.536535,-1.537368,0.000833
-1.536083,-1.536156,-1.537022,0.000866
-1.535736,-1.535793,-1.536675,0.000882
-1.535390,-1.535382,-1.536329,0.000946
-1.535043,-1.535123,-1.535982,0.000859
-1.534697,-1.534776,-1.535636,0.000860
-1.534351,-1.534465,-1.535290,0.000824
-1.534004,-1.534065,-1.534943,0.000878
-1.533658,-1.533666,-1.534597,0.000931
-1.533311,-1.533431,-1.534250,0.000819
-1.532965,-1.533059,-1.533904,0.000845
-1.532619,-1.532607,-1.533557,0.000950
-1.532272,-1.532274,-1.533211,0.000937
-1.531926,-1.531914,-1.532865,0.000951
-1.531579,-1.531643,-1.532518,0.000875
-1.531233,-1.531383,-1.532172,0.000788
-1.530887,-1.530968,-1.531825,0.000858
-1.530540,-1.530652,-1.531479,0.000827
-1.530194,-1.530317,-1.531133,0.000816
-1.529847,-1.529898,-1.530786,0.000888
-1.529501,-1.529552,-1.530440,0.000888
-1.529155,-1.529301,-1.530093,0.000792
-1.528808,-1.528867,-1.529747,0.000880
-1.528462,-1.528476,-1.529400,0.000924
-1.528115,-1.528129,-1.529054,0.000925
-1.527769,-1.527819,-1.528708,0.000889
-1.527423,-1.527487,-1.528361,0.000874
-1.527076,-1.527233,-1.528015,0.000782
-1.526730,-1.526866,-1.527668,0.000803
-1.526383,-1.526471,-1.527322,0.000851
-1.526037,-1.526155,-1.526976,0.000821
-1.525690,-1.525706,-1.526629,0.000923
-1.525344,-1.525425,-1.526283,0.000858
-1.524998,-1.525108,-1.525936,0.000828
-1.524651,-1.524665,-1.525590,0.000925
-1.524305,-1.524404,-1.525244,0.000840
-1.523958,-1.523984,-1.524897,0.000913
-1.523612,-1.523615,-1.524551,0.000936
-1.523266,-1.523287,-1.524204,0.000918
-1.522919,-1.522925,-1.523858,0.000933
-1.522573,-1.522573,-1.523512,0.000938
-1.522226,-1.522334,-1.523165,0.000831
-1.521880,-1.521961,-1.522819,0.000857
